Municipio,Viviendas ocupadas con personas presentes,Hogares,Personas en Hogares particulares
76001 - Cali,19.2%,10.3%,-12.2%
76130 - Candelaria,49.2%,37.0%,23.3%
76233 - Dagua,48.1%,46.7%,16.4%
76275 - Florida,29.2%,22.9%,-0.6%
76364 - Jamundi,86.4%,73.7%,36.7%
76377 - La Cumbre,42.6%,43.5%,19.0%
76520 - Palmira,53.2%,40.6%,8.5%
76563 - Pradera,23.1%,15.8%,-8.7%
76869 - Vijes,39.0%,26.6%,12.0%
76892 - Yumbo,34.7%,27.9%,4.8%
